Title,Authors,Periodical-Title,Pub-Year,PMID
"Cohort Profile: The Provincial Opioid Agonist Treatment Cohort In Ontario, Canada","Morin, Kristen A.; Tatangelo, Mark R.; Acharya, Shreedhar; Marsh, David C.",European Journal Of Epidemiology,2025,
Self-Assembling Pegylated Mannolipids For Liposomal Drug Encapsulation Of Natural Products,"Mousavifar, Leila; Gupta, Mukul R.; Rivat, Madleen; El Riz, Aly; Azzouz, Abdelkrim; Lewicky, Jordan D.; Martel, Alexandrine L.; Le, Hoang-Thanh; Roy, Rene",Materials Advances,2025,
"Shockwave Therapy And Fibromyalgia And Its Effect On Pain, Blood Markers, Imaging, And Participant Experience - A Multidisciplinary Randomized Controlled Trial","Sanzo, Paolo; Agostino, Martina; Fidler, Wesley; Lawrence-Dewar, Jane; Pearson, Erin; Zerpa, Carlos; Niccoli, Sarah; Lees, Simon J.",Physiotherapy Theory And Practice,2025,
"Am I attached? A patient-partnered approach to creating infographics about attachment to primary care in Ontario, Canada.","MacNeil, Maggie; Tagami, Aya; Sheffield, Peter; Ramsden, Vivian R.; Barker, Joan; Boyle, Jennifer; Cruickshank, Clare; Frymire, Eliot; Glazier, Richard H.; Hill, Anita Gombos; Green, Michael E.; Huang, Mary; Jurriaans, Marijke; Leid, Caron; McCallum, Melissa; Precious, Sarah; Stans, Jo-Ann; Vizza, Julie; Walz, Murray; Wilkins, Sue; Ganann, Rebecca",Research involvement and engagement,2024,
"Canadian Stroke Best Practice Recommendations: Acute Stroke Management, 7th Edition Practice Guidelines Update, 2022","Heran, Manraj; Lindsay, Patrice; Gubitz, Gord; Yu, Amy; Ganesh, Aravind; Lund, Rebecca; Arsenault, Sacha; Bickford, Doug; Derbyshire, Donnita; Doucette, Shannon; Ghrooda, Esseddeeg; Harris, Devin; Kanya-Forstner, Nick; Kaplovitch, Eric; Liederman, Zachary; Martiniuk, Shauna; McClelland, Marie; Milot, Genevieve; Minuk, Jeffrey; Otto, Erica; Perry, Jeffrey; Schlamp, Rob; Tampieri, Donatella; van Adel, Brian; Volders, David; Whelan, Ruth; Yip, Samuel; Foley, Norine; Smith, Eric E.; Dowlatshahi, Dar; Mountain, Anita; Hill, Michael D.; Martin, Chelsy; Shamy, Michel",Canadian Journal Of Neurological Sciences,2024,
"Evaluating equity of access and predictors of minimally invasive hysterectomy for endometrial and cervical cancer from 2000 to 2017 in Ontario, Canada: A population-based cohort study","McGinnis, Justin M.; Pond, Gregory R.; Reade, Clare J.; Schnarr, Kara L.; Simunovic, Marko; Elit, Lorraine M.; Seow, Hsien-Yeang; Helpman, Limor",Journal Of Surgical Oncology,2024,
Healthcare providers' perceived acceptability of a warning signs intervention for rural hospital-to-home transitional care: A cross-sectional study,"Fox, Mary T.; Butler, Jeffrey I.; Day, Adam M. B.; Durocher, Evelyne; Nowrouzi-Kia, Behdin; Sidani, Souraya; Maimets, Ilo-Katryn; Dahlke, Sherry; Yamada, Janet",PLOS One,2024,
Overcoming cold start and sensor bias: A deep learning-based framework for IoT-enabled monitoring applications,"Shurrab, Mohammed; Mahboobeh, Dunia; Mizouni, Rabeb; Singh, Shakti; Otrok, Hadi",Journal Of Network And Computer Applications,2024,
Psychogenic non-epileptic seizures with and without epilepsy: Exploring the influence of co-existing psychiatric disorders on clinical characteristics and outcomes,"Alkhaldi, Norah A.; Paredes-Aragon, Elma; Kim, David Dongkyung; Yu, Yeyao Joe; Alkhateeb, Mashael; Mirsattari, Seyed M.",Epilepsy Research,2024,
Utilization Of Shock Team And Veno-Arterial Extracorporeal Membrane Oxygenation (VA-ECMO) In The Management Of Shock In Northern Ontario,"Alnasser, Sami; Cavanagh, Matthew; Atoui, Rony; Ali, Noman; Nalla, Bhanu; Mckechnie, Kyle; Main, Anthony; Rheault-Henry, Mathieu; Al-Shaibi, Abdulaziz; Burke, Lucas; McIsaac, Sarah; Anderson, Robert; Fam, Neil; Shurrab, Mohammed; Kerr, Mary Catherine; Hennessey, Hooman; Armstrong, Craig; Bittira, Bindu; Alqahtani, Abdulrahman; Papadopoulos, Gregory; Kumar, Andreas; Macdonald, Derek; O'Connor, Cormac; Mcdonald, Michael; Manchuk, Derek",CJC Open,2024,
"A double-blinded, randomized trial comparing surgeon-administered transversus abdominis plane block with placebo after midline laparotomy in gynecologic oncology surgery","Bernard, L.; Lavecchia, M.; Trepanier, G.; Mah, S.; Pokoradi, A.; McGinnis, J. M.; Alyafi, M.; Glezerson, B.; Nguyen, J.; Carlson, V.; Helpman, L.; Elit, L.; Jimenez, W.; Eiriksson, L.; Reade, C. J.",American Journal Of Obstetrics And Gynecology,2023,
Collecting evidence of validity for an assessment tool for Norwegian medical students' non-technical skills (NorMS-NTS): usability and reliability when used by novice raters,"Prydz, Katrine; Dieckmann, Peter; Fagertun, Hans; Musson, David; Wisborg, Torben",BMC Medical Education,2023,
Decreased GABA plus Levels in the Medial Prefrontal Cortex of Perimenopausal Women: A 3T 1H-MRS Study,"Tran, Kim H.; Luki, Jessica; Hanstock, Sarah; Hanstock, Christopher C.; Seres, Peter; Aitchison, Katherine; Shandro, Tami; Le Melledo, Jean-Michel",International Journal Of Neuropsychopharmacology,2023,
Determining minimal clinically important difference estimates following surgery for degenerative conditions of the lumbar spine: analysis of the Canadian Spine Outcomes and Research Network (CSORN) registry,"Power, J. D.; Perruccio, Anthony, V.; Canizares, Mayilee; Mcintosh, Greg; Abraham, Edward; Attabib, Najmedden; Bailey, Christopher S.; Charest-Morin, Raphaele; Dea, Nicholas; Finkelstein, Joel; Fisher, Charles; Glennie, R. A.; Hall, Hamilton; Johnson, Michael G.; Kelly, Adrienne M.; Kingwell, Stephen; Manson, Neil; Nataraj, Andrew; Paquet, Jerome; Singh, Supriya; Soroceanu, Alex; Thomas, Kenneth C.; Weber, Michael H.; Rampersaud, Y. R.",Spine Journal,2023,
Experience of introducing an electronic health records station in an objective structured clinical examination to evaluate medical students' communication skills in Canada: a descriptive study,"Chen, Kuan-chin Jean; Bartman, Ilona; Pugh, Debra; Topps, David; Desjardins, Isabelle; Forgie, Melissa; Archibald, Douglas",Journal Of Educational Evaluation For Health Professions,2023,
Impact of breath-hold technique on incidence of cardiac events in adjuvant left breast cancer irradiation,"Mahmoud, Amr A.; Sadaka, Emad A.; Abouegylah, Mohamed; Amin, Sara A.; Elmansy, Hazem; Asal, Mohamed F.; Koeksal, Mumtaz A.; Gawish, Ahmed",Journal Of Cancer Research And Clinical Oncology,2023,
Involvement of the posterior cingulate gyrus in temporal lobe epilepsy: A study using stereo-EEG,"Arevalo-Astrada, Miguel; Suller-Marti, Ana; McLachlan, Richard S.; Paredes-Aragon, Elma; Jones, Michelle-Lee; Parrent, Andrew G.; Mirsattari, Seyed M.; Lau, Jonathan C.; Steven, David A.; Burneo, Jorge G.",Epilepsy Research,2023,
Lack of spontaneous typical seizures during intracranial monitoring with stereo-electroencephalography,"Bottan, Juan S.; Alshahrani, Ashwaq; Gilmore, Greydon; Steven, David A.; Burneo, Jorge G.; Lau, Jonathan C.; McLachlan, Richard S.; Parrent, Andrew G.; MacDougall, Keith W.; Diosy, David C.; Mirsattari, Seyed M.; Marti, Ana Suller",Epileptic Disorders,2023,
Leveraging Influenza Virus Surveillance From 2012 to 2015 to Characterize the Burden of Respiratory Syncytial Virus Disease in Canadian Adults ≥50 Years of Age Hospitalized With Acute Respiratory Illness,"ElSherif, May; Andrew, Melissa K.; Ye, Lingyun; Ambrose, Ardith; Boivin, Guy; Bowie, William; David, Marie-Pierre; Gruselle, Olivier; Halperin, Scott A.; Hatchette, Todd F.; Johnstone, Jennie; Katz, Kevin; Langley, Joanne M.; Loeb, Mark; MacKinnon-Cameron, Donna; McCarthy, Anne; McElhaney, Janet E.; McGeer, Allison; Poirier, Andre; Pircon, Jean-Yves; Powis, Jeff; Richardson, David; Semret, Makeda; Smith, Stephanie; Smyth, Daniel; Trottier, Sylvie; Valiquette, Louis; Webster, Duncan; McNeil, Shelly A.; LeBlanc, Jason J.",Open Forum Infectious Diseases,2023,
Managing common ambulatory conditions: Exploring clinical decision making performance between pharmacists and family physicians,"Chiang, Vincent; Guirguis, Lisa; Warren, Amy L.; Topps, David; Anderson, Sarah J.; Hecker, Kent G.",Exploratory Research In Clinical And Social Pharmacy,2023,
